date_collected,origin,destination,flight_date,class,duration,stops,price_usd
2025-05-21,EDI,SGN,2025-06-20,Economy,PT16H45M,0,857.6
2025-05-21,EDI,KUL,2025-06-20,Economy,PT19H35M,0,731.8
2025-05-21,EDI,MNL,2025-06-20,Economy,PT25H15M,0,926.3
2025-05-21,EDI,SIN,2025-06-20,Economy,PT16H30M,0,628.8
2025-05-21,EDI,SYD,2025-06-20,Economy,PT30H5M,0,876.3
2025-05-21,EDI,MEL,2025-06-20,Economy,PT23H,0,911.3
2025-05-21,EDI,BNE,2025-06-20,Economy,PT22H35M,0,1019.9
2025-05-21,EDI,JFK,2025-06-20,Economy,PT15H40M,0,557.01
2025-05-21,EDI,LAX,2025-06-20,Economy,PT18H40M,0,576.11
2025-05-21,EDI,DXB,2025-06-20,Economy,PT12H35M,0,248.1
2025-05-21,EDI,DEL,2025-06-20,Economy,PT21H20M,0,605.6
2025-05-21,EDI,CPT,2025-06-20,Economy,PT28H55M,0,705.4
2025-05-21,EDI,TYO,2025-06-20,Economy,PT15H55M,0,559.9
2025-05-21,EDI,PER,2025-06-20,Economy,PT20H30M,0,963.0
2025-05-21,LTN,PRG,2025-06-20,Economy,PT17H35M,0,140.9
2025-05-21,LTN,BUD,2025-06-20,Economy,PT21H,0,140.9
2025-05-21,LTN,CPH,2025-06-20,Economy,PT8H5M,0,128.2
2025-05-21,LTN,IST,2025-06-20,Economy,PT8H20M,0,111.2
2025-05-21,LTN,DXB,2025-06-20,Economy,PT12H35M,0,243.6
2025-05-21,BRS,AMS,2025-06-20,Economy,PT1H15M,0,156.5
2025-05-21,BRS,BCN,2025-06-20,Economy,PT38H20M,0,203.5
2025-05-21,BRS,CDG,2025-06-20,Economy,PT21H15M,0,167.4
2025-05-21,BRS,FCO,2025-06-20,Economy,PT7H55M,0,215.0
2025-05-21,BRS,DUB,2025-06-20,Economy,PT16H50M,0,143.4
2025-05-21,BRS,PRG,2025-06-20,Economy,PT11H40M,0,144.4
2025-05-21,BRS,ATH,2025-06-20,Economy,PT8H25M,0,243.0
2025-05-21,BRS,LIS,2025-06-20,Economy,PT8H20M,0,245.0
2025-05-21,BRS,BUD,2025-06-20,Economy,PT15H5M,0,144.4
2025-05-21,BRS,CPH,2025-06-20,Economy,PT13H15M,0,144.4
2025-05-21,BRS,IST,2025-06-20,Economy,PT8H40M,0,274.5
2025-05-21,BRS,BKK,2025-06-20,Economy,PT13H40M,0,786.4
2025-05-21,BRS,DPS,2025-06-20,Economy,PT18H50M,0,901.0
2025-05-21,BRS,HAN,2025-06-20,Economy,PT36H35M,0,1057.7
2025-05-21,BRS,SGN,2025-06-20,Economy,PT19H15M,0,958.6
2025-05-21,BRS,KUL,2025-06-20,Economy,PT15H5M,0,855.8
2025-05-21,BRS,MNL,2025-06-20,Economy,PT29H25M,0,1039.0
2025-05-21,BRS,SIN,2025-06-20,Economy,PT14H55M,0,898.8
2025-05-21,BRS,SYD,2025-06-20,Economy,PT31H5M,0,1064.9
2025-05-21,BRS,BNE,2025-06-20,Economy,PT27H5M,0,1354.3
