code
AMS
BCN
CDG
FCO
DUB
PRG
ATH
LIS
BUD
CPH
IST
BKK
DPS
HAN
SGN
KUL
MNL
SIN
SYD
MEL
BNE
JFK
LAX
DXB
DEL
CPT
TYO
PER
